Date,Open,High,Low,Close,Adj Close,Volume,7. dividend amount,8. split coefficient,Ticker
2021-11-16,467.15,470.485,467.07,469.28,444.800645812932,48857502,0.0000,1.0,SPY
2021-11-17,469.0,469.19,467.48,468.14,443.720112365466,47858289,0.0000,1.0,SPY
2021-11-18,469.24,470.01,466.34,469.73,445.227172173774,50625607,0.0000,1.0,SPY
2021-11-19,469.61,470.94,468.5,468.89,444.430989633536,57315573,0.0000,1.0,SPY
2021-11-22,470.89,473.54,467.35,467.57,443.179845641733,72761954,0.0000,1.0,SPY
2021-11-23,467.22,469.095,464.45,468.19,443.767504183338,73206538,0.0000,1.0,SPY
2021-11-24,466.06,469.57,465.19,469.44,444.95229963012,61858813,0.0000,1.0,SPY
2021-11-26,462.34,463.9,457.77,458.97,435.028452967869,112669636,0.0000,1.0,SPY
2021-11-29,464.07,466.56,461.73,464.6,440.364771660178,86268818,0.0000,1.0,SPY
2021-11-30,462.0,464.03,455.3,455.56,431.796330989046,148559598,0.0000,1.0,SPY
2021-12-01,461.64,464.67,450.29,450.5,427.000279020469,132485835,0.0000,1.0,SPY
2021-12-02,450.73,459.07,450.31,457.4,433.54034988671,127637758,0.0000,1.0,SPY
2021-12-03,459.17,460.3,448.92,453.42,429.767961184154,137331647,0.0000,1.0,SPY
2021-12-06,456.13,460.79,453.56,458.79,434.857842423532,98977532,0.0000,1.0,SPY
2021-12-07,464.41,468.88,458.6546,468.28,443.852809455506,95484688,0.0000,1.0,SPY
2021-12-08,468.7,470.0,466.83,469.52,445.028126538714,72238777,0.0000,1.0,SPY
2021-12-09,468.15,469.6291,466.14,466.35,442.023485285673,61272568,0.0000,1.0,SPY
2021-12-10,469.23,470.9,466.51,470.74,446.184486894774,77159757,0.0000,1.0,SPY
2021-12-13,470.19,470.56,466.27,466.57,442.232009284307,87724680,0.0000,1.0,SPY
2021-12-14,463.09,465.74,460.25,463.36,439.189454576969,97264128,0.0000,1.0,SPY
2021-12-15,463.42,470.86,460.74,470.6,446.051789804734,116899251,0.0000,1.0,SPY
2021-12-16,472.57,472.87,464.8,466.45,442.118268921416,116568626,0.0000,1.0,SPY
2021-12-17,461.55,464.74,458.06,459.87,437.429782161862,135636510,1.6335,1.0,SPY
2021-12-20,454.48,455.4,451.14,454.98,432.778398869255,107134822,0.0000,1.0,SPY
2021-12-21,458.61,463.21,456.31,463.06,440.464120138022,69806260,0.0000,1.0,SPY
2021-12-22,462.79,467.81,462.58,467.69,444.868190617525,58890223,0.0000,1.0,SPY
